"Response ID","Time Started","Date Submitted","Status","Contact ID","Language","Intro time","Introduction time","Code Instrumentation for IntermittencyWhen we want to transform this simple swap operation to be able to continue where it left off, it needs to be significantly modified.This example is to illustrate the steps required and is therefore not a practical real world example, as transforming every line into a task is often not required. There is no supported way in Python to create a checkpoint and continue on, therefore we split the program into tasks that are assumed to be atomic (they have to be completed before the power fails). After every task (in this case every line in the original swap program is transformed into a separate task) the state of the program and it's variables is stored. And each time a call to `restore()` is made the program continues with the next task. When `checkpoint()` is called the state of the program is stored in non-volatile memory (memory that keeps data even if power is not applied). Bellow there are 3 versions of the same swap program transformed into a task based one. Two of them contain errors in the transformation and one is correct. Please take some time to find which one of the 3 options is the correct one.Option 1Option 2Option 3Please select the option you think is correct.","Instrumentation question time","Intermezzo time","Do you think that a system taking care of program correctness, despite power failures, would help?","Do you think that a system taking care of program correctness, despite power failures, would save your time as a programmer?","Do you think that rewriting a (Python) code such that it will be correct, despite power failures, is a time-consuming task for a programmer?","Do you have any remarks about the problem of intermittent computing?","Final questions time","Considering any programming language: what is your programming experience?","What is your Python language programming experience?","What is your C/C++ programming experience?","Have you ever used any of the open source microcontroller boards such as Adafruit METRO (left) or Arduino Uno (right)?","Have you ever used CircuitPython before?","What is your age?","Self-assessment time"
"161","Sep 9, 2019 5:38:55 am","Sep 9, 2019 5:47:49 am","Complete","","English","27","113","Option 2","221","42","Likely","Unlikely","Likely","","89","A lot of experience","No experience","No experience","I have used it once","Never heard of it","17","42"
"162","Sep 9, 2019 5:38:55 am","Sep 9, 2019 5:49:54 am","Complete","","English","26","70","Option 2","224","24","Likely","Likely","Very likely","It would have to be implemented perfectly and be unexploiteable, especially if it is meant to be used at a professional level.","292","Very little experience","Very little experience","Very little experience","Heard of it","Never heard of it","19","23"
"163","Sep 9, 2019 5:39:19 am","Sep 9, 2019 5:47:23 am","Complete","","English","4","7","Option 2","301","32","Neutral","Neutral","Likely","","64","Very little experience","No experience","No experience","I have used it once","Heard of it","18","76"
"164","Sep 9, 2019 5:39:18 am","Sep 9, 2019 5:45:51 am","Complete","","English","5","80","Option 2","224","25","Likely","Very likely","Very likely","","30","A lot of experience","A lot of experience","Some experience","I have used it once","Never heard of it","22","29"
"165","Sep 9, 2019 5:39:00 am","Sep 9, 2019 5:48:29 am","Complete","","English","22","130","Option 2","283","43","Likely","Likely","Neutral","","47","Some experience","Very little experience","No experience","Heard of it","Never heard of it","19","44"
"166","Sep 9, 2019 5:39:11 am","Sep 9, 2019 5:49:28 am","Complete","","English","11","44","Option 1","433","11","Likely","Very likely","Very likely","","82","Very little experience","No experience","No experience","Heard of it","Heard of it","20","36"
"168","Sep 9, 2019 5:39:09 am","Sep 9, 2019 5:50:12 am","Complete","","English","15","141","Option 2","416","40","Neutral","Neutral","Neutral","","26","No experience","No experience","No experience","Never heard of it","Never heard of it","27","25"
"169","Sep 9, 2019 5:39:11 am","Sep 9, 2019 5:46:45 am","Complete","","English","13","75","Option 2","213","28","Likely","Very likely","Neutral","Perhaps being able to call a general method called 'checkpoint' would be a plus as defining it yourself could get timeconsuming.","86","Some experience","No experience","Some experience","Heard of it","Never heard of it","17","38"
"170","Sep 9, 2019 5:39:05 am","Sep 9, 2019 5:45:02 am","Complete","","English","19","48","Option 3","114","22","Likely","Very likely","Very likely","A system that needs to run all the time will not be possible this way, if it keeps failing","109","Expert","Very little experience","Some experience","I have used it more than once","Never heard of it","18","45"
"171","Sep 9, 2019 5:39:18 am","Sep 9, 2019 5:48:17 am","Complete","","English","6","29","Option 2","380","35","Very likely","Very likely","Very likely","No","55","Some experience","Some experience","Very little experience","I have used it more than once","Never heard of it","18","34"
"172","Sep 9, 2019 5:38:56 am","Sep 9, 2019 5:48:42 am","Complete","","English","28","67","Option 2","252","39","Likely","Unlikely","Unlikely","I think that it is a good precaution to be made if no replacements for batteries are possible, however a replacement for batteries would likely be a more universally useful invention.","166","Some experience","Very little experience","Very little experience","Heard of it","Never heard of it","18","34"
"173","Sep 9, 2019 5:39:16 am","Sep 9, 2019 5:41:32 am","Complete","","English","8","15","Option 2","45","7","Very likely","Very likely","Very likely","No","33","Very little experience","No experience","No experience","Heard of it","Never heard of it","18","27"
"174","Sep 9, 2019 5:38:51 am","Sep 9, 2019 5:45:34 am","Complete","","English","34","35","Option 2","182","24","Very likely","Very unlikely","Likely","No","90","No experience","No experience","No experience","Never heard of it","Never heard of it","18","37"
"177","Sep 9, 2019 5:38:59 am","Sep 9, 2019 5:49:24 am","Complete","","English","27","113","Option 2","387","14","Neutral","Neutral","Likely","","50","Very little experience","Some experience","Some experience","I have used it once","Never heard of it","18","34"
"178","Sep 9, 2019 5:39:13 am","Sep 9, 2019 5:49:29 am","Complete","","English","12","152","Option 2","341","26","Likely","Likely","Neutral","","52","Very little experience","Very little experience","No experience","Never heard of it","Never heard of it","18","33"
"179","Sep 9, 2019 5:39:20 am","Sep 9, 2019 5:44:54 am","Complete","","English","5","47","Option 1","141","72","Neutral","Very unlikely","Likely","","33","Some experience","Very little experience","No experience","Heard of it","Never heard of it","19","36"
"180","Sep 9, 2019 5:39:06 am","Sep 9, 2019 5:48:14 am","Complete","","English","21","33","Option 2","317","49","Very likely","Very likely","Likely","","89","Some experience","Some experience","Some experience","I have used it once","Heard of it","18","39"
"181","Sep 9, 2019 5:38:53 am","Sep 9, 2019 5:46:46 am","Complete","","English","33","26","Option 2","209","26","Likely","Very likely","Neutral","","144","Some experience","Some experience","Some experience","I have used it more than once","Heard of it","18","35"
"182","Sep 9, 2019 5:39:15 am","Sep 9, 2019 5:45:57 am","Complete","","English","12","80","Option 2","239","15","Very likely","Very likely","Very likely","","31","Some experience","Very little experience","No experience","I have used it more than once","Never heard of it","17","25"
"183","Sep 9, 2019 5:38:55 am","Sep 9, 2019 5:49:31 am","Complete","","English","32","111","Option 2","386","19","Likely","Unlikely","Very likely","","52","Some experience","Very little experience","No experience","Heard of it","Never heard of it","18","36"
"184","Sep 9, 2019 5:39:04 am","Sep 9, 2019 5:46:51 am","Complete","","English","24","106","Option 2","165","66","Very likely","Neutral","Likely","Just burn more fossil fuels","70","No experience","No experience","No experience","Heard of it","Never heard of it","19","36"
"185","Sep 9, 2019 5:39:03 am","Sep 9, 2019 6:29:50 am","Complete","","English","25","115","Option 2","414","23","Unlikely","Neutral","Unlikely","","2446","Very little experience","No experience","No experience","Never heard of it","Never heard of it","18","24"
"186","Sep 9, 2019 5:39:15 am","Sep 9, 2019 5:48:07 am","Complete","","English","14","39","Option 3","185","58","Unlikely","Likely","Unlikely","Being unable to call general methods while computing","140","A lot of experience","No experience","No experience","I have used it once","Never heard of it","18","95"
"187","Sep 9, 2019 5:39:21 am","Sep 9, 2019 5:46:28 am","Complete","","English","9","119","Option 2","145","26","Unlikely","Very unlikely","Likely","use desktops","84","Some experience","No experience","No experience","Never heard of it","Heard of it","18","44"
"188","Sep 9, 2019 5:39:21 am","Sep 9, 2019 5:48:45 am","Complete","","English","9","38","Option 2","301","29","Likely","Very likely","Very likely","","143","Some experience","A lot of experience","Some experience","I have used it more than once","Never heard of it","18","44"
"189","Sep 9, 2019 5:38:56 am","Sep 9, 2019 5:49:56 am","Complete","","English","35","68","Option 3","449","12","Likely","Very unlikely","Very likely","no","63","Very little experience","No experience","Very little experience","Heard of it","Never heard of it","18","33"
"190","Sep 9, 2019 5:38:55 am","Sep 9, 2019 5:45:26 am","Complete","","English","37","47","Option 2","156","23","Very likely","Very likely","Very likely","Creates a large and unnecessary time sink for programmers","102","Some experience","Some experience","No experience","Never heard of it","Never heard of it","18","26"
"191","Sep 9, 2019 5:38:47 am","Sep 9, 2019 5:48:26 am","Complete","","English","44","82","Option 2","361","23","Likely","Likely","Very likely","","35","Very little experience","No experience","No experience","Heard of it","Never heard of it","20","34"
"192","Sep 9, 2019 5:39:04 am","Sep 9, 2019 5:49:15 am","Complete","","English","27","95","Option 2","365","40","Likely","Very likely","Likely","","53","Very little experience","No experience","No experience","Never heard of it","Never heard of it","18","30"
"193","Sep 9, 2019 5:38:48 am","Sep 9, 2019 5:48:58 am","Complete","","English","43","76","Option 2","344","28","Likely","Neutral","Unlikely","","66","Very little experience","No experience","No experience","Heard of it","Never heard of it","17","53"
"194","Sep 9, 2019 5:39:08 am","Sep 9, 2019 5:50:02 am","Complete","","English","24","52","Option 2","512","29","Very likely","Very likely","Likely","","16","Some experience","Very little experience","Very little experience","I have used it once","Never heard of it","21","20"
"195","Sep 9, 2019 5:38:56 am","Sep 9, 2019 5:49:35 am","Complete","","English","36","114","Option 2","337","28","Likely","Very likely","Neutral","None","89","Some experience","Very little experience","Some experience","Never heard of it","Never heard of it","19","35"
"196","Sep 9, 2019 5:39:02 am","Sep 9, 2019 5:46:09 am","Complete","","English","31","30","Option 1","190","9","Likely","Likely","Unlikely","No","128","No experience","No experience","Very little experience","Never heard of it","Never heard of it","20","38"
"197","Sep 9, 2019 5:39:01 am","Sep 9, 2019 5:48:10 am","Complete","","English","31","97","Option 2","312","26","Very likely","Neutral","Likely","","60","Very little experience","Some experience","No experience","Never heard of it","Never heard of it","18","23"
"198","Sep 9, 2019 5:39:26 am","Sep 9, 2019 5:43:07 am","Complete","","English","7","53","Option 2","50","15","Neutral","Likely","Likely","","49","Very little experience","No experience","No experience","Heard of it","Never heard of it","18","47"
"199","Sep 9, 2019 5:39:03 am","Sep 9, 2019 5:48:07 am","Complete","","English","31","116","Option 2","245","43","Likely","Likely","Neutral","","67","Some experience","No experience","Very little experience","Heard of it","Never heard of it","20","42"
"200","Sep 9, 2019 5:39:06 am","Sep 9, 2019 5:47:50 am","Complete","","English","28","223","Option 3","130","4","Very likely","Very likely","Likely","","101","Some experience","Very little experience","A lot of experience","Heard of it","Never heard of it","19","38"
"201","Sep 9, 2019 5:39:14 am","Sep 9, 2019 5:48:21 am","Complete","","English","19","102","Option 2","328","15","Likely","Very likely","Very likely","","56","Some experience","No experience","No experience","Never heard of it","Never heard of it","21","27"
"202","Sep 9, 2019 5:39:24 am","Sep 9, 2019 5:50:12 am","Complete","","English","9","51","Option 2","406","60","Likely","Likely","Likely","-","89","Some experience","A lot of experience","No experience","I have used it once","Never heard of it","18","33"
"203","Sep 9, 2019 5:39:20 am","Sep 9, 2019 6:17:42 am","Complete","","English","14","78","Option 1","442","59","Very likely","Very likely","Likely","N/a","1669","No experience","Very little experience","No experience","Heard of it","Never heard of it","18","39"
"205","Sep 9, 2019 5:39:06 am","Sep 9, 2019 5:44:43 am","Complete","","English","27","37","Option 2","167","16","Very likely","Very likely","Very likely","Very interesting. Haven't really thought about it but I would like to learn more.","61","A lot of experience","A lot of experience","Some experience","I have used it more than once","Heard of it","18","28"
"207","Sep 9, 2019 5:39:13 am","Sep 9, 2019 5:50:29 am","Complete","","English","22","69","Option 1","419","25","Likely","Likely","Likely","no","105","Some experience","Some experience","Very little experience","Heard of it","Never heard of it","18","36"
"209","Sep 9, 2019 5:39:26 am","Sep 9, 2019 5:44:51 am","Complete","","English","9","13","Option 2","188","12","Likely","Likely","Neutral","","59","A lot of experience","Very little experience","Expert","I have used it once","Heard of it","19","44"
"210","Sep 9, 2019 5:39:01 am","Sep 9, 2019 5:47:16 am","Complete","","English","34","68","Option 3","294","20","Likely","Very likely","Likely","","47","Some experience","Very little experience","No experience","Never heard of it","Never heard of it","18","32"
"212","Sep 9, 2019 5:39:03 am","Sep 9, 2019 5:44:03 am","Complete","","English","34","38","Option 2","85","27","Very likely","Likely","Neutral","Go on just do whatever it takes to stop global warming","84","Very little experience","No experience","Very little experience","Never heard of it","Never heard of it","18","31"
"215","Sep 9, 2019 5:39:31 am","Sep 9, 2019 5:47:28 am","Complete","","English","8","77","Option 1","250","59","Likely","Very likely","Unlikely","","50","Very little experience","Very little experience","No experience","Never heard of it","Never heard of it","18","33"
"216","Sep 9, 2019 5:39:01 am","Sep 9, 2019 5:46:11 am","Complete","","English","38","62","Option 2","185","25","Neutral","Likely","Very likely","","65","Very little experience","Very little experience","Some experience","I have used it once","Never heard of it","19","55"
"217","Sep 9, 2019 5:39:00 am","Sep 9, 2019 5:45:09 am","Complete","","English","38","60","Option 1","171","18","Neutral","Likely","Likely","","44","No experience","No experience","Very little experience","Never heard of it","Never heard of it","20","38"
"218","Sep 9, 2019 5:39:34 am","Sep 9, 2019 5:49:05 am","Complete","","English","5","138","Option 2","288","32","Very likely","Very likely","Very likely","","66","A lot of experience","No experience","No experience","I have used it more than once","Never heard of it","18","42"
"219","Sep 9, 2019 5:39:27 am","Sep 9, 2019 5:48:11 am","Complete","","English","11","15","Option 2","318","29","Likely","Likely","Likely","","61","Some experience","Some experience","No experience","Never heard of it","Heard of it","18","90"
"220","Sep 9, 2019 5:39:34 am","Sep 9, 2019 5:48:36 am","Complete","","English","6","90","Option 2","271","44","Unlikely","Likely","Neutral","","85","A lot of experience","Some experience","Some experience","I have used it more than once","Never heard of it","19","46"
"221","Sep 9, 2019 5:39:06 am","Sep 9, 2019 5:48:46 am","Complete","","English","33","47","Option 2","369","18","Likely","Likely","Likely","No","72","Some experience","Very little experience","No experience","Never heard of it","Never heard of it","19","40"
"223","Sep 9, 2019 5:39:31 am","Sep 9, 2019 5:48:25 am","Complete","","English","8","32","Option 2","330","37","Neutral","Likely","Likely","","91","Some experience","Very little experience","Very little experience","Heard of it","Never heard of it","18","36"
"225","Sep 9, 2019 5:39:00 am","Sep 9, 2019 5:49:25 am","Complete","","English","40","86","Option 2","371","32","Likely","Very likely","Likely","","61","Some experience","Very little experience","A lot of experience","Never heard of it","Never heard of it","19","35"
"227","Sep 9, 2019 5:39:29 am","Sep 9, 2019 5:48:38 am","Complete","","English","11","74","Option 2","260","35","Very likely","Likely","Likely","The issue doesn't appear to be very relevant yet, but no doubt will in the future it will be.","148","Some experience","Some experience","Some experience","I have used it more than once","Heard of it","23","20"
"228","Sep 9, 2019 5:38:59 am","Sep 9, 2019 5:47:29 am","Complete","","English","42","56","Option 2","292","25","Very likely","Likely","Very likely","","57","Some experience","Some experience","No experience","Heard of it","Never heard of it","18","38"
"230","Sep 9, 2019 5:39:37 am","Sep 9, 2019 5:46:07 am","Complete","","English","3","5","Option 1","201","35","Unlikely","Likely","Very likely","","91","Some experience","Some experience","No experience","I have used it more than once","Never heard of it","9","55"
"231","Sep 9, 2019 5:38:56 am","Sep 9, 2019 5:46:58 am","Complete","","English","47","115","Option 2","172","52","Likely","Likely","Very likely","","54","Very little experience","Very little experience","No experience","Never heard of it","Never heard of it","18","42"
"232","Sep 9, 2019 5:39:24 am","Sep 9, 2019 5:47:21 am","Complete","","English","18","55","Option 2","227","47","Very likely","Unlikely","Unlikely","","106","No experience","No experience","No experience","Never heard of it","Never heard of it","18","24"
"234","Sep 9, 2019 5:38:47 am","Sep 9, 2019 5:50:24 am","Complete","","English","56","94","Option 2","306","19","Likely","Neutral","Neutral","The only application I can really think of for something like this is long term execution programs. Something like a neural network or genetic algorithm which may run for 24+ hours. It seems kind of niche but I can see the appeal","186","A lot of experience","A lot of experience","A lot of experience","I have used it once","Never heard of it","21","36"
"235","Sep 9, 2019 5:39:35 am","Sep 9, 2019 5:47:13 am","Complete","","English","9","148","Option 2","182","26","Very likely","Very likely","Very likely","","64","Some experience","Very little experience","Some experience","Heard of it","Never heard of it","19","29"
"236","Sep 9, 2019 5:38:40 am","Sep 9, 2019 5:47:52 am","Complete","","English","65","57","Option 2","178","37","Very likely","Very likely","Unlikely","","179","Some experience","Some experience","No experience","Heard of it","Never heard of it","19","36"
"237","Sep 9, 2019 5:39:36 am","Sep 9, 2019 5:48:46 am","Complete","","English","7","213","Option 1","246","30","Very likely","Very likely","Very likely","no","17","Some experience","Very little experience","Some experience","Never heard of it","Heard of it","21","37"
"238","Sep 9, 2019 5:39:33 am","Sep 9, 2019 5:45:59 am","Complete","","English","12","67","Option 2","208","29","Very likely","Very likely","Very likely","","34","Some experience","Some experience","Very little experience","Heard of it","Never heard of it","18","36"
"240","Sep 9, 2019 5:39:20 am","Sep 9, 2019 5:45:31 am","Complete","","English","25","51","Option 1","191","42","Likely","Very likely","Very likely","Sounds very interesting","33","Some experience","A lot of experience","Some experience","Heard of it","Heard of it","19","28"
"241","Sep 9, 2019 5:39:41 am","Sep 9, 2019 5:46:57 am","Complete","","English","4","39","Option 2","291","7","Likely","Unlikely","Very likely","","63","Some experience","Very little experience","A lot of experience","Heard of it","Never heard of it","19","32"
"242","Sep 9, 2019 5:39:34 am","Sep 9, 2019 5:46:32 am","Complete","","English","12","88","Option 3","155","22","Likely","Likely","Likely","no","71","A lot of experience","Expert","No experience","Heard of it","Heard of it","18","70"
"243","Sep 9, 2019 5:39:01 am","Sep 9, 2019 5:46:29 am","Complete","","English","44","170","Option 2","126","21","Neutral","Likely","Neutral","","53","Some experience","No experience","No experience","Heard of it","Heard of it","21","34"
"244","Sep 9, 2019 5:39:16 am","Sep 9, 2019 5:49:47 am","Complete","","English","29","114","Option 3","394","9","Likely","Likely","Likely","No","45","Some experience","Some experience","Some experience","I have used it once","Never heard of it","19","38"
"246","Sep 9, 2019 5:39:20 am","Sep 9, 2019 5:49:16 am","Complete","","English","26","93","Option 2","410","8","Likely","Neutral","Likely","","31","Some experience","Some experience","No experience","Never heard of it","Never heard of it","17","28"
"247","Sep 9, 2019 5:39:34 am","Sep 9, 2019 5:44:11 am","Complete","","English","13","10","Option 2","96","17","Likely","Very likely","Likely","","75","Very little experience","Very little experience","Very little experience","Heard of it","Heard of it","19","66"
"248","Sep 9, 2019 5:38:56 am","Sep 9, 2019 5:49:27 am","Complete","","English","50","70","Option 2","379","42","Neutral","Very likely","Likely","","62","A lot of experience","A lot of experience","No experience","Never heard of it","Never heard of it","19","28"
"249","Sep 9, 2019 5:39:38 am","Sep 9, 2019 5:47:16 am","Complete","","English","9","118","Option 2","214","16","Likely","Very unlikely","Likely","No","58","Very little experience","No experience","Some experience","Heard of it","Never heard of it","19","42"
"250","Sep 9, 2019 5:39:37 am","Sep 9, 2019 5:44:56 am","Complete","","English","10","20","Option 2","151","28","Likely","Likely","Very likely","No","59","Very little experience","Very little experience","No experience","Never heard of it","Never heard of it","18","29"
"251","Sep 9, 2019 5:39:23 am","Sep 9, 2019 5:48:35 am","Complete","","English","24","56","Option 2","397","16","Very likely","Very likely","Likely","No","33","Some experience","Some experience","No experience","I have used it once","Never heard of it","18","26"
"252","Sep 9, 2019 5:38:58 am","Sep 9, 2019 5:50:04 am","Complete","","English","49","88","Option 3","452","25","Very likely","Very likely","Likely","Good work :)","28","A lot of experience","Some experience","Some experience","I have used it once","Never heard of it","19","24"
"253","Sep 9, 2019 5:39:00 am","Sep 9, 2019 5:47:28 am","Complete","","English","48","68","Option 2","228","58","Neutral","Likely","Likely","Not really","63","Very little experience","Very little experience","No experience","Never heard of it","Never heard of it","18","42"
"254","Sep 9, 2019 5:39:23 am","Sep 9, 2019 5:48:15 am","Complete","","English","25","61","Option 2","227","72","Likely","Likely","Very likely","no","109","Very little experience","No experience","No experience","I have used it more than once","Never heard of it","18","37"
"255","Sep 9, 2019 5:39:37 am","Sep 9, 2019 5:47:52 am","Complete","","English","12","21","Option 2","312","50","Likely","Neutral","Unlikely","","71","Some experience","No experience","No experience","Heard of it","Never heard of it","18","29"
"256","Sep 9, 2019 5:39:39 am","Sep 9, 2019 5:48:07 am","Complete","","English","9","59","Option 2","306","23","Likely","Very likely","Likely","","85","No experience","No experience","No experience","Never heard of it","Never heard of it","17","26"
"257","Sep 9, 2019 5:39:32 am","Sep 9, 2019 5:45:12 am","Complete","","English","17","61","Option 3","136","19","Likely","Neutral","Neutral","","66","Some experience","No experience","Very little experience","Never heard of it","Heard of it","19","41"
"258","Sep 9, 2019 5:39:44 am","Sep 9, 2019 5:42:41 am","Complete","","English","7","6","Option 2","52","6","Likely","Neutral","Neutral","","65","Some experience","No experience","Some experience","Heard of it","Never heard of it","18","41"
"259","Sep 9, 2019 5:39:21 am","Sep 9, 2019 5:49:22 am","Complete","","English","30","136","Option 2","321","43","Very likely","Very likely","Likely","","35","A lot of experience","Very little experience","Expert","I have used it more than once","Heard of it","18","36"
"260","Sep 9, 2019 5:39:18 am","Sep 9, 2019 5:51:28 am","Complete","","English","33","85","Option 2","514","37","Likely","Very likely","Very likely","","34","Some experience","A lot of experience","No experience","Heard of it","Never heard of it","19","27"
"261","Sep 9, 2019 5:39:29 am","Sep 9, 2019 5:44:15 am","Complete","","English","23","9","Option 2","103","41","Neutral","Neutral","Likely","no","76","Some experience","Very little experience","A lot of experience","Never heard of it","Never heard of it","19","33"
"262","Sep 9, 2019 5:39:09 am","Sep 9, 2019 5:46:14 am","Complete","","English","42","67","Option 2","203","28","Very likely","Very likely","Very likely","","54","Some experience","Some experience","No experience","Heard of it","Never heard of it","18","31"
"263","Sep 9, 2019 5:39:12 am","Sep 9, 2019 5:48:39 am","Complete","","English","38","55","Option 2","281","30","Likely","Likely","Likely","","119","A lot of experience","A lot of experience","Very little experience","I have used it more than once","Never heard of it","19","44"
"264","Sep 9, 2019 5:39:45 am","Sep 9, 2019 5:45:10 am","Complete","","English","7","42","Option 2","91","50","Likely","Very likely","Likely","","91","Very little experience","Some experience","Very little experience","I have used it once","Heard of it","18","44"
"265","Sep 9, 2019 5:39:45 am","Sep 9, 2019 5:48:38 am","Complete","","English","7","35","Option 2","335","30","Very likely","Likely","Neutral","","85","Some experience","Some experience","No experience","Heard of it","Never heard of it","18","41"
"266","Sep 9, 2019 5:39:32 am","Sep 9, 2019 5:45:02 am","Complete","","English","21","8","Option 2","163","21","Neutral","Unlikely","Neutral","","68","Some experience","Some experience","No experience","Heard of it","Never heard of it","17","49"
"267","Sep 9, 2019 5:39:43 am","Sep 9, 2019 5:48:28 am","Complete","","English","9","75","Option 1","319","30","Likely","Likely","Unlikely","","58","Very little experience","No experience","Some experience","Never heard of it","Never heard of it","19","34"
"269","Sep 9, 2019 5:39:28 am","Sep 9, 2019 5:46:45 am","Complete","","English","26","52","Option 2","224","20","Neutral","Very likely","Very likely","","86","A lot of experience","Some experience","Very little experience","I have used it more than once","Never heard of it","18","29"
"270","Sep 9, 2019 5:39:34 am","Sep 9, 2019 5:49:05 am","Complete","","English","20","96","Option 2","268","37","Very likely","Likely","Neutral","","106","Some experience","No experience","No experience","Never heard of it","Heard of it","17","44"
"271","Sep 9, 2019 5:39:08 am","Sep 9, 2019 5:49:16 am","Complete","","English","46","68","Option 2","367","29","Likely","Likely","Likely","","69","Some experience","Some experience","No experience","Never heard of it","Never heard of it","19","29"
"272","Sep 9, 2019 5:39:25 am","Sep 9, 2019 5:45:49 am","Complete","","English","30","82","Option 2","127","30","Likely","Likely","Neutral","No","85","Some experience","Very little experience","A lot of experience","Heard of it","Heard of it","22","29"
"273","Sep 9, 2019 5:38:52 am","Sep 9, 2019 5:49:23 am","Complete","","English","62","275","Option 3","127","19","Likely","Likely","Likely","Nope","113","No experience","No experience","No experience","Heard of it","Never heard of it","19","34"
"275","Sep 9, 2019 5:39:14 am","Sep 9, 2019 5:43:06 am","Complete","","English","41","9","Option 2","53","17","Likely","Likely","Very likely","","63","Very little experience","Some experience","Very little experience","I have used it more than once","Never heard of it","18","49"
"276","Sep 9, 2019 5:39:04 am","Sep 9, 2019 5:49:36 am","Complete","","English","51","109","Option 2","360","40","Likely","Very likely","Very likely","","40","Some experience","No experience","No experience","Heard of it","Heard of it","19","32"
"277","Sep 9, 2019 5:39:13 am","Sep 9, 2019 5:46:14 am","Complete","","English","42","9","Option 2","245","16","Likely","Likely","Unlikely","no","72","Very little experience","Very little experience","Some experience","I have used it once","Never heard of it","19","36"
"278","Sep 9, 2019 5:39:03 am","Sep 9, 2019 5:45:17 am","Complete","","English","52","24","Option 2","199","12","Unlikely","Very unlikely","Likely","Nope","50","Some experience","Some experience","No experience","Never heard of it","Never heard of it","20","37"
"279","Sep 9, 2019 5:38:56 am","Sep 9, 2019 5:44:49 am","Complete","","English","60","68","Option 2","100","22","Likely","Very likely","Neutral","No","61","Some experience","Very little experience","No experience","I have used it once","Heard of it","21","41"
"280","Sep 9, 2019 5:38:42 am","Sep 9, 2019 5:43:57 am","Complete","","English","76","48","Option 2","98","18","Likely","Neutral","Neutral","","43","Very little experience","No experience","No experience","Heard of it","Never heard of it","22","32"
"281","Sep 9, 2019 5:39:05 am","Sep 9, 2019 5:46:00 am","Complete","","English","54","101","Option 3","104","34","Likely","Neutral","Likely","No","86","A lot of experience","No experience","Expert","I have used it once","Never heard of it","18","35"
"282","Sep 9, 2019 5:39:32 am","Sep 9, 2019 5:50:39 am","Complete","","English","26","146","Option 3","415","8","Very likely","Very likely","Likely","no","38","Some experience","No experience","Some experience","Never heard of it","Never heard of it","19","33"
"283","Sep 9, 2019 5:38:47 am","Sep 9, 2019 5:50:54 am","Complete","","English","72","103","Option 2","394","26","Very likely","Very likely","Likely","Wouldn't it take quite a bit of extra time to run code?","107","Very little experience","No experience","No experience","Never heard of it","Never heard of it","19","25"
"284","Sep 9, 2019 5:39:18 am","Sep 9, 2019 5:49:38 am","Complete","","English","42","110","Option 2","250","37","Very likely","Very likely","Very likely","It's bad","134","Some experience","Very little experience","Very little experience","Heard of it","Never heard of it","18","46"
"285","Sep 9, 2019 5:39:08 am","Sep 9, 2019 5:50:30 am","Complete","","English","52","83","Option 2","440","46","Unlikely","Likely","Neutral","","32","Very little experience","Very little experience","No experience","Heard of it","Never heard of it","18","29"
"286","Sep 9, 2019 5:39:05 am","Sep 9, 2019 5:48:44 am","Complete","","English","56","94","Option 2","208","46","Very likely","Neutral","Likely","","105","Some experience","Some experience","Some experience","I have used it more than once","Heard of it","24","70"
"287","Sep 9, 2019 5:38:50 am","Sep 9, 2019 5:48:56 am","Complete","","English","70","34","Option 2","262","21","Likely","Likely","Very likely","How is the energy-intermittency proof module save from running out of power ?","147","Some experience","A lot of experience","Very little experience","I have used it more than once","Never heard of it","19","71"
"288","Sep 9, 2019 5:39:19 am","Sep 9, 2019 5:49:39 am","Complete","","English","43","139","Option 3","260","81","Very likely","Neutral","Likely","","62","Very little experience","No experience","Some experience","I have used it more than once","Never heard of it","18","35"
"289","Sep 9, 2019 5:39:54 am","Sep 9, 2019 5:47:30 am","Complete","","English","8","103","Option 2","164","33","Neutral","Likely","Likely","no","114","Very little experience","No experience","No experience","Never heard of it","Never heard of it","20","33"
"290","Sep 9, 2019 5:38:57 am","Sep 9, 2019 5:48:14 am","Complete","","English","66","71","Option 2","225","48","Very likely","Unlikely","Very likely","","104","Some experience","No experience","Very little experience","Heard of it","Never heard of it","19","43"
"291","Sep 9, 2019 5:39:05 am","Sep 9, 2019 5:49:17 am","Complete","","English","59","82","Option 2","241","32","Very likely","Very likely","Likely","None that I can think of now, keep it up!","172","Some experience","Very little experience","Very little experience","Never heard of it","Never heard of it","19","25"
"292","Sep 9, 2019 5:39:16 am","Sep 9, 2019 5:45:52 am","Complete","","English","45","31","Option 1","152","36","Likely","Likely","Neutral","","74","Very little experience","No experience","No experience","Never heard of it","Never heard of it","18","58"
"293","Sep 9, 2019 5:39:31 am","Sep 9, 2019 5:46:39 am","Complete","","English","30","134","Option 2","170","39","Very likely","Very likely","Likely","","29","Very little experience","No experience","No experience","I have used it once","Never heard of it","18","26"
"294","Sep 9, 2019 5:38:58 am","Sep 9, 2019 5:48:35 am","Complete","","English","65","128","Option 2","210","54","Likely","Very likely","Likely","","79","Some experience","No experience","Very little experience","I have used it once","Never heard of it","18","41"
"298","Sep 9, 2019 5:39:25 am","Sep 9, 2019 5:46:35 am","Complete","","English","39","89","Option 3","142","30","Very likely","Very likely","Very likely","","74","Very little experience","No experience","No experience","I have used it once","Never heard of it","18","55"
